,Transit ID,Datum,Měna,Region,Region ID,Poslytovatel dopravy,Doprava,Pohonné hmoty,Typ skladu,Zaměstnanec
16,1016,2022-06-08,CZK,Liberecký kraj,5,Spedquick Třebíč,nákladní vozidlo,natural95,centrální,Jan Novák
17,1017,2022-03-26,CZK,Plzeňský kraj,1,Geis,vlak,diesel,regionální,Daniel Podach
18,1018,2022-08-13,CZK,Jihočeský kraj,2,GLS,nákladní vozidlo,diesel,regionální,Jan Novák
19,1019,2022-07-23,EUR,Zlínský kraj,5,Toptrans,nákladní vozidlo,diesel,centrální,Josef Vošouch
20,1020,2022-03-16,EUR,Hlavní město Praha,4,Pap Trutnov,nákladní vozidlo,diesel,tranzitní,Daniel Podach
21,1021,2022-03-13,EUR,Hlavní město Praha,7,Spedquick Třebíč,kamion,natural95,regionální,Karel Barel
22,1022,2022-03-31,EUR,Středočeský kraj,5,Geis,vlak,natural95,tranzitní,Jan Novák
23,1023,2022-03-18,EUR,Plzeňský kraj,6,Geis,vlak,diesel,tranzitní,Daniel Podach
24,1024,2022-07-25,EUR,Pardubický kraj,3,GLS,kamion,natural95,regionální,Karel Barel
25,1025,2022-04-22,CZK,Moravskoslezský kraj,11,Spedquick Třebíč,kamion,natural95,regionální,Josef Vošouch
26,1026,2022-08-30,CZK,Královehradecký kraj,7,Geis,kamion,natural95,regionální,Daniel Podach
27,1027,2021-12-18,CZK,Zlínský kraj,5,Spedquick Třebíč,kamion,natural95,tranzitní,Karel Barel
28,1028,2022-09-21,EUR,Liberecký kraj,3,Pap Trutnov,kamion,diesel,centrální,Jiří Zeman
29,1029,2022-09-03,CZK,Moravskoslezský kraj,7,Pap Trutnov,kamion,natural95,regionální,Jiří Zeman
30,1030,2022-08-04,CZK,Jihomoravský kraj,1,Spedquick Třebíč,vlak,natural95,regionální,Jan Novák
31,1031,2022-08-13,EUR,Moravskoslezský kraj,9,GLS,kamion,diesel,tranzitní,Karel Barel
32,1032,2021-12-31,CZK,Moravskoslezský kraj,11,GLS,nákladní vozidlo,natural95,regionální,Jan Novák
33,1033,2022-02-09,EUR,Olomoucký kraj,10,Pap Trutnov,vlak,natural95,regionální,Karel Barel
34,1034,2022-11-22,CZK,Hlavní město Praha,0,GLS,kamion,diesel,regionální,Daniel Podach
35,1035,2022-01-07,CZK,Pardubický kraj,5,Spedquick Třebíč,kamion,natural95,tranzitní,Karel Barel
36,1036,2022-05-03,EUR,Hlavní město Praha,1,GLS,nákladní vozidlo,natural95,regionální,Jiří Zeman
37,1037,2022-05-27,CZK,Jihočeský kraj,4,Pap Trutnov,vlak,natural95,tranzitní,Jiří Zeman
38,1038,2022-06-13,EUR,Hlavní město Praha,1,Geis,vlak,natural95,centrální,Josef Vošouch
39,1039,2022-02-27,EUR,Karlovarský kraj,11,Toptrans,vlak,natural95,centrální,Daniel Podach
40,1040,2022-03-26,CZK,Královehradecký kraj,12,Spedquick Třebíč,nákladní vozidlo,diesel,tranzitní,Josef Vošouch
41,1041,2021-11-27,EUR,Liberecký kraj,8,Spedquick Třebíč,vlak,natural95,regionální,Jan Novák
42,1042,2022-07-21,EUR,Liberecký kraj,10,Spedquick Třebíč,vlak,natural95,tranzitní,Jan Novák
43,1043,2022-01-25,CZK,Plzeňský kraj,2,GLS,nákladní vozidlo,natural95,centrální,Daniel Podach
44,1044,2022-07-06,CZK,Pardubický kraj,5,Geis,vlak,natural95,centrální,Jan Novák
45,1045,2022-04-11,EUR,Královehradecký kraj,8,Spedquick Třebíč,nákladní vozidlo,natural95,regionální,Karel Barel
46,1046,2022-10-30,EUR,Královehradecký kraj,3,Toptrans,vlak,diesel,centrální,Jan Novák
47,1047,2022-11-02,CZK,Hlavní město Praha,10,GLS,kamion,diesel,tranzitní,Josef Vošouch
48,1048,2022-02-28,CZK,Královehradecký kraj,9,Pap Trutnov,nákladní vozidlo,diesel,centrální,Karel Barel
49,1049,2022-03-07,CZK,Středočeský kraj,0,GLS,nákladní vozidlo,diesel,tranzitní,Jan Novák
50,1050,2022-09-07,EUR,Plzeňský kraj,4,Pap Trutnov,vlak,diesel,tranzitní,Karel Barel
51,1051,2022-02-15,CZK,Plzeňský kraj,8,Spedquick Třebíč,nákladní vozidlo,diesel,centrální,Karel Barel
52,1052,2022-08-13,EUR,Olomoucký kraj,12,Toptrans,kamion,natural95,regionální,Daniel Podach
53,1053,2022-01-03,CZK,Jihomoravský kraj,1,GLS,nákladní vozidlo,natural95,centrální,Josef Vošouch
54,1054,2022-10-08,CZK,Moravskoslezský kraj,8,Spedquick Třebíč,kamion,diesel,centrální,Josef Vošouch
55,1055,2022-08-29,CZK,Jihočeský kraj,6,Toptrans,kamion,natural95,regionální,Jan Novák
56,1056,2022-01-09,CZK,Plzeňský kraj,1,Geis,vlak,diesel,tranzitní,Daniel Podach
57,1057,2022-06-30,CZK,Královehradecký kraj,4,GLS,vlak,diesel,centrální,Jiří Zeman
58,1058,2022-05-12,CZK,Královehradecký kraj,11,GLS,kamion,diesel,tranzitní,Jiří Zeman
59,1059,2022-10-14,CZK,Středočeský kraj,0,Spedquick Třebíč,kamion,natural95,tranzitní,Karel Barel
60,1060,2022-06-03,EUR,Karlovarský kraj,3,Geis,nákladní vozidlo,natural95,regionální,Jan Novák
61,1061,2022-07-30,CZK,Zlínský kraj,10,Toptrans,vlak,natural95,regionální,Jiří Zeman
62,1062,2022-02-16,CZK,Liberecký kraj,10,Toptrans,nákladní vozidlo,natural95,centrální,Daniel Podach
63,1063,2022-09-29,CZK,Pardubický kraj,6,Geis,vlak,natural95,tranzitní,Karel Barel
64,1064,2022-08-09,EUR,Zlínský kraj,0,Spedquick Třebíč,kamion,natural95,regionální,Karel Barel
65,1065,2022-02-15,EUR,Jihočeský kraj,0,GLS,kamion,natural95,tranzitní,Jiří Zeman
66,1066,2022-08-20,EUR,"Ústecký kraj,Vysočina",5,Toptrans,nákladní vozidlo,diesel,centrální,Jan Novák
67,1067,2022-05-18,CZK,Jihočeský kraj,2,GLS,vlak,diesel,regionální,Josef Vošouch
68,1068,2021-12-24,CZK,Karlovarský kraj,11,Geis,kamion,natural95,tranzitní,Jan Novák
69,1069,2021-11-23,CZK,Hlavní město Praha,0,Geis,vlak,natural95,centrální,Josef Vošouch
70,1070,2022-11-09,CZK,Královehradecký kraj,9,Pap Trutnov,kamion,diesel,tranzitní,Karel Barel
71,1071,2022-04-23,EUR,Liberecký kraj,2,Spedquick Třebíč,kamion,natural95,regionální,Jan Novák
72,1072,2022-04-30,CZK,Hlavní město Praha,0,Pap Trutnov,nákladní vozidlo,diesel,centrální,Jiří Zeman
73,1073,2022-02-05,EUR,Pardubický kraj,6,Spedquick Třebíč,kamion,diesel,centrální,Jiří Zeman
74,1074,2022-02-12,CZK,Olomoucký kraj,5,Toptrans,nákladní vozidlo,diesel,regionální,Jiří Zeman
75,1075,2022-01-24,CZK,Hlavní město Praha,11,Geis,kamion,natural95,tranzitní,Daniel Podach
76,1076,2022-06-14,CZK,Plzeňský kraj,8,Geis,kamion,natural95,regionální,Karel Barel
77,1077,2022-03-27,EUR,Středočeský kraj,7,Toptrans,vlak,natural95,tranzitní,Karel Barel
78,1078,2022-07-08,EUR,Jihomoravský kraj,7,GLS,nákladní vozidlo,diesel,regionální,Karel Barel
79,1079,2022-10-10,CZK,Středočeský kraj,0,Toptrans,nákladní vozidlo,natural95,tranzitní,Daniel Podach
80,1080,2022-07-16,CZK,Jihomoravský kraj,1,Pap Trutnov,kamion,diesel,regionální,Josef Vošouch
81,1081,2022-10-13,EUR,Moravskoslezský kraj,10,Toptrans,kamion,diesel,centrální,Daniel Podach
82,1082,2022-01-18,EUR,Liberecký kraj,12,Geis,vlak,diesel,centrální,Jiří Zeman
83,1083,2022-06-19,EUR,Moravskoslezský kraj,4,GLS,nákladní vozidlo,natural95,centrální,Karel Barel
84,1084,2022-08-21,CZK,Královehradecký kraj,11,Pap Trutnov,nákladní vozidlo,diesel,centrální,Karel Barel
85,1085,2022-06-03,CZK,Plzeňský kraj,7,Toptrans,kamion,diesel,regionální,Jan Novák
86,1086,2022-10-11,EUR,Liberecký kraj,0,Toptrans,kamion,diesel,tranzitní,Josef Vošouch
87,1087,2022-09-04,EUR,"Ústecký kraj,Vysočina",7,Geis,kamion,natural95,tranzitní,Jan Novák
88,1088,2021-12-05,EUR,Liberecký kraj,2,Pap Trutnov,kamion,natural95,centrální,Jan Novák
89,1089,2022-10-18,EUR,Hlavní město Praha,9,Geis,vlak,natural95,tranzitní,Daniel Podach
90,1090,2022-10-06,EUR,Hlavní město Praha,2,Toptrans,nákladní vozidlo,diesel,regionální,Karel Barel
91,1091,2022-04-08,EUR,Plzeňský kraj,10,GLS,nákladní vozidlo,natural95,centrální,Karel Barel
92,1092,2022-01-05,CZK,Liberecký kraj,2,Toptrans,vlak,natural95,tranzitní,Josef Vošouch
93,1093,2021-11-26,EUR,Olomoucký kraj,0,Pap Trutnov,kamion,natural95,tranzitní,Jiří Zeman
94,1094,2022-10-10,EUR,Jihomoravský kraj,0,GLS,kamion,diesel,tranzitní,Jiří Zeman
95,1095,2022-05-15,CZK,Plzeňský kraj,2,Geis,nákladní vozidlo,natural95,tranzitní,Daniel Podach
96,1096,2022-04-04,EUR,Středočeský kraj,4,Geis,vlak,natural95,centrální,Daniel Podach
97,1097,2022-08-24,CZK,Olomoucký kraj,10,Pap Trutnov,nákladní vozidlo,natural95,tranzitní,Jan Novák
98,1098,2022-06-21,CZK,Jihočeský kraj,2,GLS,kamion,natural95,centrální,Josef Vošouch
99,1099,2022-08-28,CZK,Královehradecký kraj,12,Geis,nákladní vozidlo,natural95,regionální,Josef Vošouch
100,1100,2022-01-08,EUR,Hlavní město Praha,10,Toptrans,kamion,natural95,centrální,Jan Novák
101,1101,2022-05-13,CZK,Královehradecký kraj,3,Geis,vlak,natural95,centrální,Karel Barel
102,1102,2022-07-30,EUR,Pardubický kraj,12,Spedquick Třebíč,kamion,natural95,regionální,Jan Novák
103,1103,2022-05-01,EUR,Karlovarský kraj,10,GLS,vlak,natural95,centrální,Karel Barel
104,1104,2022-08-30,EUR,Moravskoslezský kraj,12,Geis,vlak,diesel,regionální,Karel Barel
105,1105,2022-05-31,EUR,Jihomoravský kraj,9,Spedquick Třebíč,nákladní vozidlo,natural95,regionální,Jan Novák
106,1106,2022-03-30,EUR,Moravskoslezský kraj,4,Spedquick Třebíč,vlak,natural95,tranzitní,Karel Barel
107,1107,2022-05-09,CZK,Jihomoravský kraj,5,Pap Trutnov,nákladní vozidlo,natural95,tranzitní,Jiří Zeman
108,1108,2022-03-09,EUR,Zlínský kraj,8,Geis,kamion,natural95,centrální,Josef Vošouch
109,1109,2021-12-01,CZK,Zlínský kraj,10,Toptrans,nákladní vozidlo,natural95,regionální,Karel Barel
110,1110,2022-02-03,CZK,"Ústecký kraj,Vysočina",9,Pap Trutnov,nákladní vozidlo,natural95,regionální,Jiří Zeman
111,1111,2021-12-17,CZK,Královehradecký kraj,0,Geis,nákladní vozidlo,diesel,regionální,Jiří Zeman
112,1112,2022-08-27,EUR,Karlovarský kraj,3,GLS,kamion,natural95,tranzitní,Karel Barel
113,1113,2022-11-06,EUR,Jihočeský kraj,11,GLS,nákladní vozidlo,natural95,regionální,Daniel Podach
114,1114,2022-05-01,EUR,Olomoucký kraj,12,Pap Trutnov,kamion,natural95,centrální,Jan Novák
115,1115,2022-03-29,EUR,Plzeňský kraj,5,Toptrans,vlak,natural95,tranzitní,Karel Barel
116,1116,2022-02-04,CZK,Karlovarský kraj,10,Geis,kamion,diesel,tranzitní,Karel Barel
117,1117,2022-06-20,CZK,Pardubický kraj,6,Pap Trutnov,vlak,natural95,regionální,Josef Vošouch
118,1118,2022-02-08,CZK,Moravskoslezský kraj,6,Toptrans,nákladní vozidlo,diesel,tranzitní,Jan Novák
119,1119,2022-06-25,CZK,Jihomoravský kraj,0,Geis,kamion,diesel,regionální,Karel Barel
120,1120,2022-09-24,EUR,Jihočeský kraj,0,Toptrans,kamion,natural95,centrální,Josef Vošouch
121,1121,2022-05-24,CZK,Středočeský kraj,6,Toptrans,nákladní vozidlo,diesel,regionální,Jiří Zeman
122,1122,2022-04-30,CZK,Liberecký kraj,11,Toptrans,kamion,natural95,centrální,Jiří Zeman
123,1123,2022-01-26,CZK,Pardubický kraj,2,Spedquick Třebíč,nákladní vozidlo,natural95,regionální,Josef Vošouch
124,1124,2022-05-02,CZK,Liberecký kraj,3,Pap Trutnov,kamion,diesel,centrální,Jan Novák
125,1125,2022-01-08,EUR,Liberecký kraj,5,Pap Trutnov,nákladní vozidlo,natural95,centrální,Jiří Zeman
126,1126,2021-12-04,CZK,"Ústecký kraj,Vysočina",12,Toptrans,kamion,diesel,regionální,Daniel Podach
127,1127,2022-01-17,CZK,"Ústecký kraj,Vysočina",12,GLS,nákladní vozidlo,natural95,tranzitní,Karel Barel
128,1128,2022-09-12,CZK,Zlínský kraj,3,GLS,kamion,diesel,tranzitní,Jiří Zeman
129,1129,2022-04-11,CZK,Plzeňský kraj,3,Spedquick Třebíč,nákladní vozidlo,diesel,tranzitní,Josef Vošouch
130,1130,2022-07-15,CZK,Zlínský kraj,7,GLS,nákladní vozidlo,diesel,tranzitní,Daniel Podach
131,1131,2022-10-22,CZK,Zlínský kraj,5,Geis,kamion,diesel,tranzitní,Jiří Zeman
132,1132,2021-12-19,CZK,Hlavní město Praha,0,Geis,vlak,natural95,centrální,Josef Vošouch
133,1133,2022-07-22,EUR,Zlínský kraj,9,Spedquick Třebíč,nákladní vozidlo,diesel,regionální,Karel Barel
134,1134,2022-08-10,CZK,Pardubický kraj,2,Toptrans,kamion,diesel,tranzitní,Jan Novák
135,1135,2022-09-04,EUR,Pardubický kraj,6,Geis,kamion,diesel,tranzitní,Josef Vošouch
136,1136,2022-04-14,CZK,"Ústecký kraj,Vysočina",6,Toptrans,vlak,diesel,regionální,Jiří Zeman
137,1137,2021-12-31,CZK,Hlavní město Praha,5,Pap Trutnov,nákladní vozidlo,natural95,centrální,Josef Vošouch
138,1138,2022-01-23,EUR,Jihočeský kraj,3,Pap Trutnov,kamion,natural95,regionální,Daniel Podach
139,1139,2022-02-11,EUR,Jihomoravský kraj,0,Pap Trutnov,nákladní vozidlo,diesel,centrální,Jiří Zeman
140,1140,2022-08-21,EUR,Plzeňský kraj,6,Spedquick Třebíč,nákladní vozidlo,natural95,tranzitní,Jiří Zeman
141,1141,2022-11-15,CZK,Jihočeský kraj,4,Pap Trutnov,nákladní vozidlo,diesel,tranzitní,Jan Novák
142,1142,2022-08-13,CZK,Středočeský kraj,11,GLS,kamion,natural95,regionální,Daniel Podach
143,1143,2022-11-21,CZK,Moravskoslezský kraj,4,Spedquick Třebíč,kamion,diesel,regionální,Josef Vošouch
144,1144,2022-07-04,CZK,Zlínský kraj,1,Pap Trutnov,kamion,natural95,regionální,Jiří Zeman
145,1145,2022-09-01,CZK,Středočeský kraj,10,Pap Trutnov,vlak,natural95,regionální,Karel Barel
146,1146,2022-04-30,EUR,Středočeský kraj,11,Spedquick Třebíč,nákladní vozidlo,natural95,tranzitní,Jan Novák
147,1147,2022-02-16,CZK,Hlavní město Praha,10,Geis,kamion,diesel,tranzitní,Karel Barel
148,1148,2022-04-22,CZK,Olomoucký kraj,6,Spedquick Třebíč,kamion,diesel,regionální,Karel Barel
149,1149,2022-10-18,CZK,Moravskoslezský kraj,1,Geis,vlak,diesel,tranzitní,Jan Novák
150,1150,2022-04-15,EUR,Jihočeský kraj,4,Geis,kamion,diesel,tranzitní,Jiří Zeman
151,1151,2022-03-25,CZK,Plzeňský kraj,9,Toptrans,nákladní vozidlo,diesel,tranzitní,Jiří Zeman
152,1152,2022-04-09,CZK,Liberecký kraj,11,Toptrans,kamion,diesel,regionální,Jiří Zeman
153,1153,2021-12-16,EUR,Liberecký kraj,3,GLS,kamion,diesel,tranzitní,Jan Novák
154,1154,2021-12-23,EUR,Olomoucký kraj,5,Toptrans,nákladní vozidlo,natural95,regionální,Karel Barel
155,1155,2022-10-15,EUR,Zlínský kraj,12,GLS,vlak,natural95,centrální,Josef Vošouch
156,1156,2022-08-16,CZK,Karlovarský kraj,5,Pap Trutnov,kamion,natural95,regionální,Daniel Podach
157,1157,2022-03-02,EUR,Královehradecký kraj,0,Toptrans,kamion,diesel,tranzitní,Josef Vošouch
158,1158,2022-01-09,EUR,Jihomoravský kraj,2,GLS,kamion,natural95,regionální,Daniel Podach
159,1159,2022-09-08,EUR,Olomoucký kraj,11,Pap Trutnov,vlak,natural95,tranzitní,Jan Novák
160,1160,2022-03-11,EUR,Pardubický kraj,7,Pap Trutnov,kamion,diesel,tranzitní,Daniel Podach
161,1161,2022-03-19,EUR,Královehradecký kraj,6,GLS,nákladní vozidlo,diesel,tranzitní,Karel Barel
162,1162,2022-10-27,EUR,Karlovarský kraj,10,Geis,kamion,diesel,tranzitní,Jiří Zeman
163,1163,2022-09-04,CZK,Jihočeský kraj,10,Toptrans,nákladní vozidlo,natural95,centrální,Josef Vošouch
164,1164,2022-01-11,EUR,Pardubický kraj,4,Spedquick Třebíč,vlak,diesel,centrální,Daniel Podach
165,1165,2022-05-29,CZK,Moravskoslezský kraj,0,GLS,vlak,natural95,centrální,Daniel Podach
166,1166,2022-08-10,CZK,Královehradecký kraj,0,Toptrans,nákladní vozidlo,diesel,regionální,Jan Novák
167,1167,2022-09-14,EUR,Moravskoslezský kraj,1,GLS,kamion,natural95,tranzitní,Daniel Podach
168,1168,2022-06-15,CZK,Středočeský kraj,4,Geis,kamion,diesel,tranzitní,Karel Barel
169,1169,2022-05-02,EUR,Pardubický kraj,11,Geis,nákladní vozidlo,natural95,centrální,Josef Vošouch
170,1170,2022-06-15,EUR,Zlínský kraj,1,GLS,vlak,diesel,tranzitní,Jan Novák
171,1171,2022-07-27,CZK,Středočeský kraj,6,Spedquick Třebíč,kamion,diesel,regionální,Jiří Zeman
172,1172,2021-12-28,CZK,Liberecký kraj,7,Pap Trutnov,vlak,natural95,centrální,Jan Novák
173,1173,2022-04-24,CZK,Moravskoslezský kraj,8,Spedquick Třebíč,nákladní vozidlo,diesel,regionální,Jiří Zeman
174,1174,2021-12-25,EUR,Jihočeský kraj,2,Toptrans,kamion,diesel,centrální,Jiří Zeman
175,1175,2022-08-13,EUR,Hlavní město Praha,3,Pap Trutnov,kamion,diesel,tranzitní,Jan Novák
176,1176,2021-12-01,CZK,Pardubický kraj,5,Geis,nákladní vozidlo,natural95,tranzitní,Jiří Zeman
177,1177,2022-04-26,CZK,Jihomoravský kraj,10,Toptrans,kamion,natural95,centrální,Daniel Podach
178,1178,2022-10-26,EUR,Zlínský kraj,12,Pap Trutnov,vlak,diesel,tranzitní,Josef Vošouch
179,1179,2022-01-22,CZK,Plzeňský kraj,3,Pap Trutnov,vlak,natural95,tranzitní,Daniel Podach
180,1180,2022-08-02,CZK,Jihočeský kraj,3,Pap Trutnov,nákladní vozidlo,natural95,regionální,Karel Barel
181,1181,2022-06-22,EUR,Karlovarský kraj,5,Geis,vlak,diesel,centrální,Karel Barel
182,1182,2021-11-26,CZK,Liberecký kraj,5,Geis,nákladní vozidlo,natural95,tranzitní,Karel Barel
183,1183,2022-08-06,CZK,Středočeský kraj,5,Pap Trutnov,kamion,diesel,tranzitní,Jan Novák
184,1184,2021-12-31,CZK,Zlínský kraj,4,Toptrans,vlak,natural95,regionální,Jan Novák
185,1185,2022-08-01,CZK,Liberecký kraj,11,Pap Trutnov,vlak,natural95,tranzitní,Daniel Podach
186,1186,2022-09-30,CZK,"Ústecký kraj,Vysočina",12,Toptrans,nákladní vozidlo,diesel,regionální,Daniel Podach
187,1187,2022-02-28,CZK,Hlavní město Praha,7,Pap Trutnov,vlak,natural95,tranzitní,Karel Barel
188,1188,2022-05-16,CZK,Liberecký kraj,12,Spedquick Třebíč,kamion,natural95,regionální,Josef Vošouch
189,1189,2022-07-02,EUR,Zlínský kraj,7,Geis,kamion,diesel,tranzitní,Jan Novák
190,1190,2022-04-18,EUR,Jihočeský kraj,2,Spedquick Třebíč,vlak,diesel,tranzitní,Jan Novák
191,1191,2022-10-09,EUR,Jihomoravský kraj,7,Toptrans,vlak,natural95,regionální,Jan Novák
192,1192,2022-09-09,CZK,Plzeňský kraj,12,Geis,nákladní vozidlo,diesel,tranzitní,Josef Vošouch
193,1193,2021-12-15,CZK,"Ústecký kraj,Vysočina",0,Pap Trutnov,kamion,diesel,regionální,Daniel Podach
194,1194,2022-05-29,EUR,Jihočeský kraj,12,Geis,kamion,diesel,tranzitní,Karel Barel
195,1195,2022-10-20,CZK,"Ústecký kraj,Vysočina",8,Toptrans,kamion,diesel,regionální,Josef Vošouch
196,1196,2022-09-03,EUR,Karlovarský kraj,8,Geis,kamion,diesel,tranzitní,Jan Novák
197,1197,2022-03-29,CZK,Karlovarský kraj,4,GLS,kamion,natural95,tranzitní,Daniel Podach
198,1198,2022-09-09,CZK,Olomoucký kraj,3,GLS,nákladní vozidlo,natural95,centrální,Karel Barel
199,1199,2022-11-08,CZK,Jihomoravský kraj,7,Toptrans,nákladní vozidlo,diesel,tranzitní,Karel Barel
200,1200,2022-04-15,EUR,Liberecký kraj,4,GLS,kamion,diesel,regionální,Josef Vošouch
201,1201,2022-06-08,CZK,Karlovarský kraj,4,Spedquick Třebíč,kamion,natural95,centrální,Jan Novák
202,1202,2022-07-14,CZK,Liberecký kraj,4,Pap Trutnov,kamion,natural95,regionální,Karel Barel
203,1203,2022-02-18,CZK,Středočeský kraj,7,Geis,kamion,natural95,centrální,Karel Barel
204,1204,2022-07-07,EUR,Liberecký kraj,8,Pap Trutnov,kamion,diesel,tranzitní,Karel Barel
205,1205,2022-03-30,CZK,Hlavní město Praha,2,GLS,nákladní vozidlo,natural95,regionální,Karel Barel
206,1206,2022-08-18,CZK,Karlovarský kraj,11,Toptrans,kamion,diesel,regionální,Daniel Podach
207,1207,2022-11-11,CZK,Královehradecký kraj,12,Pap Trutnov,nákladní vozidlo,diesel,tranzitní,Jan Novák
208,1208,2022-09-04,CZK,Moravskoslezský kraj,10,Pap Trutnov,vlak,diesel,regionální,Josef Vošouch
209,1209,2021-12-04,EUR,Liberecký kraj,11,Spedquick Třebíč,vlak,natural95,tranzitní,Jiří Zeman
210,1210,2022-05-03,CZK,Jihočeský kraj,12,Pap Trutnov,nákladní vozidlo,diesel,tranzitní,Jan Novák
211,1211,2022-11-01,CZK,Královehradecký kraj,0,GLS,vlak,natural95,centrální,Jiří Zeman
212,1212,2022-02-26,CZK,Liberecký kraj,6,Toptrans,kamion,natural95,tranzitní,Josef Vošouch
213,1213,2022-01-17,EUR,Liberecký kraj,8,GLS,kamion,diesel,tranzitní,Jan Novák
214,1214,2021-12-29,EUR,"Ústecký kraj,Vysočina",5,Pap Trutnov,kamion,natural95,regionální,Daniel Podach
215,1215,2022-05-04,EUR,Jihočeský kraj,9,Pap Trutnov,nákladní vozidlo,diesel,regionální,Jiří Zeman
216,1216,2022-04-10,EUR,Plzeňský kraj,9,GLS,kamion,natural95,centrální,Daniel Podach
217,1217,2022-01-24,EUR,Královehradecký kraj,9,Spedquick Třebíč,vlak,diesel,regionální,Jiří Zeman
218,1218,2022-10-17,EUR,Karlovarský kraj,11,Toptrans,nákladní vozidlo,diesel,regionální,Jiří Zeman
219,1219,2022-09-06,CZK,Středočeský kraj,0,Geis,nákladní vozidlo,natural95,tranzitní,Josef Vošouch
220,1220,2022-07-20,EUR,Plzeňský kraj,4,Spedquick Třebíč,kamion,natural95,regionální,Jiří Zeman
221,1221,2022-02-09,CZK,"Ústecký kraj,Vysočina",10,Geis,vlak,diesel,regionální,Jiří Zeman
222,1222,2022-01-23,CZK,Středočeský kraj,11,Spedquick Třebíč,vlak,diesel,centrální,Josef Vošouch
223,1223,2022-06-28,CZK,Olomoucký kraj,8,Pap Trutnov,vlak,natural95,regionální,Karel Barel
224,1224,2022-11-14,CZK,Středočeský kraj,8,Toptrans,nákladní vozidlo,natural95,tranzitní,Josef Vošouch
225,1225,2022-10-16,CZK,Moravskoslezský kraj,6,Geis,kamion,natural95,regionální,Karel Barel
226,1226,2022-07-27,EUR,Pardubický kraj,8,Pap Trutnov,nákladní vozidlo,diesel,regionální,Josef Vošouch
227,1227,2022-08-01,EUR,Olomoucký kraj,3,Pap Trutnov,nákladní vozidlo,natural95,centrální,Jan Novák
228,1228,2021-12-13,CZK,Středočeský kraj,6,GLS,kamion,natural95,tranzitní,Josef Vošouch
229,1229,2022-06-27,EUR,Olomoucký kraj,10,Toptrans,kamion,diesel,centrální,Karel Barel
230,1230,2022-08-10,CZK,Královehradecký kraj,12,Pap Trutnov,vlak,natural95,tranzitní,Karel Barel
231,1231,2022-09-08,EUR,Středočeský kraj,0,Toptrans,kamion,diesel,tranzitní,Jiří Zeman
232,1232,2022-01-21,CZK,Liberecký kraj,0,Geis,vlak,natural95,tranzitní,Daniel Podach
233,1233,2022-10-19,CZK,Pardubický kraj,8,GLS,nákladní vozidlo,natural95,tranzitní,Jan Novák
234,1234,2022-06-30,EUR,Zlínský kraj,12,Spedquick Třebíč,vlak,natural95,centrální,Karel Barel
235,1235,2022-01-20,CZK,Moravskoslezský kraj,9,Pap Trutnov,kamion,diesel,centrální,Karel Barel
236,1236,2022-01-21,CZK,Pardubický kraj,1,Pap Trutnov,nákladní vozidlo,diesel,regionální,Daniel Podach
237,1237,2022-02-27,CZK,Zlínský kraj,5,Toptrans,kamion,natural95,centrální,Karel Barel
238,1238,2022-02-06,CZK,Středočeský kraj,1,GLS,kamion,natural95,regionální,Jan Novák
239,1239,2022-04-03,CZK,Pardubický kraj,2,Pap Trutnov,kamion,diesel,centrální,Karel Barel
240,1240,2022-02-17,CZK,Liberecký kraj,11,Geis,vlak,diesel,tranzitní,Daniel Podach
